"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"17","LQHP","3","fc.LQHP_rm.3",0.865671855345912,0.983,0.00961383647798741,0.00671662497878014,0.854323742138365,0.00695388376353674,0.944,0.0113137084989847,0.10377358490566,0.0400249121426348,0.0125786163522013,0.017788849841171,7346.61726825156,82.1697806618076,1.434831668049e-18,28
"18","LQHPT","3","fc.LQHPT_rm.3",0.868206132075472,0.984,0.00821320754716981,0.00869741340859452,0.856234119496855,0.00965556533316462,0.9525,0.023334523779156,0.10377358490566,0.0400249121426348,0.0125786163522013,0.017788849841171,7338.12344751638,73.6759599266325,1.00279160873798e-16,28
"19","L","4","fc.L_rm.4",0.824933176100629,0.859,0.0212735849056604,0.00179622911271226,0.823778459119497,0.0157700377448211,0.841,0.108894444302728,0.106918238993711,0,0.00628930817610063,0.0088944249205855,7507.11497525034,242.667487660584,2.01914124188075e-53,7
"20","LQ","4","fc.LQ_rm.4",0.839725314465409,0.955,0.0125411949685534,0.0049390741584012,0.837768081761006,0.0132942745681761,0.9075,0.0883883476483184,0.110062893081761,0.0222360623014638,0.0125786163522013,0,7424.26085869169,159.813371101943,1.9802020771524e-35,10
"21","H","4","fc.H_rm.4",0.861068238993711,0.966,0.0162168238993711,0.0044496584271459,0.851658962264151,0.014218405317425,0.943,0.0353553390593273,0.122641509433962,0.0133416373808783,0.00628930817610063,0.0088944249205855,7363.3436237582,98.896136168446,3.34748780812332e-22,17
"22","LQH","4","fc.LQH_rm.4",0.856261163522013,0.976,0.0136128930817609,0.0055261062031598,0.843702358490566,0.013368543016263,0.8775,0.0912167747730646,0.10377358490566,0.0400249121426348,0.00943396226415094,0.0133416373808783,7368.20548745789,103.757999868142,2.94427733424605e-23,19
"23","LQHP","4","fc.LQHP_rm.4",0.856568396226415,0.967,0.0116405660377359,0.00639598096039299,0.846137893081761,0.0120597283891989,0.88,0.0947523086789974,0.10377358490566,0.0400249121426348,0.00943396226415094,0.0133416373808783,7368.50439793153,104.056910341781,2.53554388117775e-23,21
"24","LQHPT","4","fc.LQHPT_rm.4",0.859182232704403,0.968,0.010738679245283,0.00767144149400505,0.847454245283019,0.0139213315250774,0.886,0.103237590053236,0.10377358490566,0.0400249121426348,0.0125786163522013,0.017788849841171,7363.68839255141,99.2409049616608,2.81743179747115e-22,22
"25","L","5","fc.L_rm.5",0.824486949685535,0.862,0.0214559748427673,0.00184336956479136,0.823374685534591,0.0161907440435649,0.8465,0.0997020561473032,0.106918238993711,0,0.00628930817610063,0.0088944249205855,7511.69242509978,247.244937510028,2.04732172122015e-54,7
"26","LQ","5","fc.LQ_rm.5",0.837750786163522,0.946,0.0138701257861635,0.00457529217914915,0.836162735849057,0.0149971122192222,0.892,0.103237590053236,0.106918238993711,0.0088944249205855,0.0125786163522013,0,7436.20125270989,171.753765120137,5.05691780648389e-38,9
"27","H","5","fc.H_rm.5",0.858284905660377,0.969,0.0169685534591195,0.00420128161123853,0.848246540880503,0.0143422601844441,0.9405,0.0176776695296636,0.119496855345912,0.017788849841171,0.00628930817610063,0.0088944249205855,7384.32012525907,119.872637669317,9.32673372991353e-27,15
"28","LQH","5","fc.LQH_rm.5",0.850525314465409,0.972,0.0146245283018868,0.00510673406815415,0.840875314465409,0.0142775532431469,0.8665,0.108187337521542,0.10377358490566,0.0311304872220493,0.00314465408805031,0.00444721246029275,7384.33864448645,119.891156896694,9.24077038648283e-27,14
"29","LQHP","5","fc.LQHP_rm.5",0.851335062893082,0.965,0.0129610062893082,0.00586364962889597,0.842508647798742,0.0132022172702481,0.844,0.113137084989848,0.110062893081761,0.0311304872220493,0.00943396226415094,0.0133416373808783,7383.69508900065,119.247601410899,1.27483646449422e-26,16
"30","LQHPT","5","fc.LQHPT_rm.5",0.85402248427673,0.963,0.0122625786163522,0.00685137551632698,0.843862735849057,0.0151171869556502,0.8445,0.113844191771034,0.110062893081761,0.0311304872220493,0.00943396226415094,0.0133416373808783,7377.81086898192,113.363381392172,2.41655464084544e-25,16
