species,longitude,latitude
Arthet,93.011017,25.180971
Arthet,92.053139,26.754999
Arthet,76.559158,9.681945
Arthet,75.638382,12.57225
Arthet,77.059326,8.909018
Arthet,91.273529,23.793598
Arthet,77.617844,13.07727
Arthet,74.187393,15.335439
Arthet,76.387878,9.481674
Arthet,76.338852,9.498067
Arthet,76.663445,9.371081
Arthet,93.018822,25.133112
Arthet,92.762581,24.703642
Arthet,76.938736,8.72786
Arthet,77.548569,13.049423
Arthet,77.585716,12.910491
Arthet,77.595253,13.048127
Arthet,75.200627,12.057492
Arthet,76.951248,10.295271
Arthet,79.994305,6.458832
Arthet,78.326909,30.13238
Arthet,79.805108,11.987217
Arthet,76.799382,12.087356
Arthet,80.488955,6.357788
Arthet,75.811843,11.229949
Arthet,80.846335,6.416135
Arthet,80.631248,6.489511
Arthet,81.003098,6.871967
Arthet,80.64633,7.297928
Arthet,72.850468,19.24233
Arthet,80.815716,6.898202
Arthet,91.883333,25.9
Arthet,77.136047,8.679967
Arthet,76.271083,10.850516
Arthet,77.56,11.5
Arthet,85.75,27.55
Arthet,79.5,10.5
Arthet,77.55,11.07
Arthet,77,11
Arthet,80.644708,7.297386
Arthet,80.658737,7.275944
Arthet,80.644708,7.297386
Arthet,80.649497,6.083083
Arthet,81.020317,8.133182
Arthet,80.658737,7.275944
Arthet,76.287345,10.550271
Arthet,76.878582,9.001848
Arthet,77.591727,12.973002
Arthet,73.743378,15.602097
Arthet,84.7276,25.927886
Arthet,76.727226,11.192688
Arthet,73.511881,16.655876
Arthet,77.711909,12.971604
Arthet,77.580216,13.070863
Arthet,92.330007,24.434241
Arthet,87.338318,23.496965
Arthet,92.329957,24.434216
Arthet,76.801003,10.045353
Arthet,72.678,23.24
Arthet,70.562,21.471
Arthet,72.388,23.6056
Arthet,86.997439,22.454991
Arthet,80.649497,6.083083
Arthet,81.020317,8.133182
Arthet,92.071297,21.684208
Arthet,88.419409,22.63882
Arthet,81.171719,7.549788
Arthet,91.678331,25.248188
Arthet,76.799278,12.087385
Arthet,80.656459,7.277397
Arthet,79.910263,7.205685
Arthet,77.057633,10.114133
Arthet,77.144409,9.533402
Arthet,79.908578,6.892301
Arthet,77.567438,13.013658
Arthet,77.580757,12.948103
Arthet,77.5804,12.948255
Arthet,77.571633,12.80078
Arthet,77.568868,13.015963
Arthet,76.271083,10.850516
Arthet,76.716712,8.724256
Arthet,80.642403,7.298878
Arthet,76.28333,9.98333
Arthet,80.959923,6.769114
Arthet,80.320358,6.094811
Arthet,80.577332,7.31918
Arthet,80.719212,7.214318
Arthet,80.719212,7.214318
Arthet,76.783976,9.408521
Arthet,73.76976,15.585076
Arthet,80.640945,7.299712
Arthet,80.595871,7.271248
