"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"18","LQHPT","3","fc.LQHPT_rm.3",0.859793548387097,0.825,0.109454007936508,0.0982846061291123,0.808747916666667,0.131327935051474,0.6414,0.199289404301048,0.166666666666667,0.283278861866266,0.0666666666666667,0.210818510677892,672.015640673926,58.3727055743377,1.96513014268537e-13,10
"19","L","4","fc.L_rm.4",0.779543548387097,0.858,0.140871785714286,0.114736433524928,0.722675,0.166649981248124,0.2178,0.433105786410459,0.133333333333333,0.281091347570523,0.0666666666666667,0.210818510677892,699.129894674708,85.4869595751194,2.5445200101005e-19,6
"20","LQ","4","fc.LQ_rm.4",0.772101612903226,0.828,0.139354894179894,0.118120094470509,0.714579166666667,0.166260110954488,0.1247,0.472762813446423,0.133333333333333,0.281091347570523,0.0666666666666667,0.210818510677892,711.485125806768,97.8421907071798,5.28082187647353e-22,9
"21","H","4","fc.H_rm.4",0.849687096774194,0.848,0.128719437830688,0.102018417845366,0.79431375,0.150591071021788,0.5793,0.341757890260862,0.2,0.281091347570523,0.1,0.224982852570184,678.759174671419,65.1162395718303,6.74608044048962e-15,5
"22","LQH","4","fc.LQH_rm.4",0.836841935483871,0.874,0.132011084656085,0.107226486465961,0.78705,0.156259939733228,0.7029,0.246140181378191,0.166666666666667,0.283278861866266,0.1,0.224982852570184,664.510164328292,50.8672292287038,8.37885737131282e-12,6
"23","LQHP","4","fc.LQHP_rm.4",0.849762903225806,0.85,0.128591071428571,0.102275147815363,0.79437125,0.150103408111662,0.6087,0.27870416414383,0.2,0.281091347570523,0.1,0.224982852570184,681.741492520047,68.0985574204584,1.51862107623844e-15,6
"24","LQHPT","4","fc.LQHPT_rm.4",0.849762903225806,0.85,0.128591071428571,0.102275147815363,0.79437125,0.150103408111662,0.6087,0.27870416414383,0.2,0.281091347570523,0.1,0.224982852570184,681.741492520047,68.0985574204583,1.51862107623852e-15,6
"25","L","5","fc.L_rm.5",0.771733870967742,0.889,0.138375515873016,0.111963030921557,0.716190833333333,0.164957580988153,0.227,0.435401219821698,0.133333333333333,0.281091347570523,0.0666666666666667,0.210818510677892,711.805875146557,98.1629400469682,4.49833385663188e-22,7
"26","LQ","5","fc.LQ_rm.5",0.746353225806452,0.784,0.136896388888889,0.11659601592019,0.705404166666667,0.165461392742917,0.1128,0.462730254996244,0.133333333333333,0.281091347570523,0.0666666666666667,0.210818510677892,709.548954226404,95.906019126815,1.39038743874805e-21,6
"27","H","5","fc.H_rm.5",0.837651612903226,0.804,0.142374523809524,0.105189977716238,0.766474166666667,0.157908949017413,0.4987,0.47618041632231,0.2,0.281091347570523,0.1,0.224982852570184,701.509735900572,87.8668008009831,7.74158549653892e-20,5
"28","LQH","5","fc.LQH_rm.5",0.819524193548387,0.886,0.143785628306878,0.109555361195649,0.766820833333333,0.16212057418738,0.6618,0.28308883568394,0.166666666666667,0.283278861866266,0.1,0.224982852570184,680.101809262023,66.4588741624342,3.44748288236674e-15,5
"29","LQHP","5","fc.LQHP_rm.5",0.837638709677419,0.807,0.145033273809524,0.109406666354829,0.7652125,0.16231535736134,0.524,0.397306486788782,0.2,0.281091347570523,0.1,0.224982852570184,701.512374522246,87.8694394226573,7.73137867336399e-20,5
"30","LQHPT","5","fc.LQHPT_rm.5",0.837638709677419,0.807,0.145033273809524,0.109406666354829,0.7652125,0.16231535736134,0.524,0.397306486788782,0.2,0.281091347570523,0.1,0.224982852570184,701.512374522246,87.8694394226578,7.7313786733618e-20,5
