"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"15","H","3","fc.H_rm.3",0.99206935483871,0.845,0.00436645833333332,0.00548096143767222,0.987382083333333,0.00304821948256496,0.474,0.301227488785469,0.13125,0.0972271824131503,0.0333333333333333,0.0471404520791032,565.901763697582,30.0011116297389,1.248918665133e-07,12
"16","LQH","3","fc.LQH_rm.3",0.989317741935484,0.767,0.00932343750000003,0.00881128706314816,0.985546458333333,0.0100547638006473,0.767,0.0862670273047588,0.227083333333333,0.055979286843935,0.0333333333333333,0.0471404520791032,557.067383714744,21.1667316469008,1.03489287036298e-05,11
"17","LQHP","3","fc.LQHP_rm.3",0.991048387096774,0.76,0.00466822916666665,0.00561280738958102,0.987983020833333,0.00413848975080699,0.52,0.345068109219035,0.225,0.0353553390593274,0.0333333333333333,0.0471404520791032,567.126326911586,31.2256748437429,6.77054506178659e-08,13
"18","LQHPT","3","fc.LQHPT_rm.3",0.991048387096774,0.76,0.00466822916666665,0.00561280738958102,0.987983020833333,0.00413848975080699,0.52,0.345068109219035,0.225,0.0353553390593274,0.0333333333333333,0.0471404520791032,567.126326911586,31.2256748437429,6.77054506178659e-08,13
"19","L","4","fc.L_rm.4",0.9867,0.818,0.0161370833333334,0.000661144840409435,0.984058958333333,0.0118402084231432,0.8955,0.0190918830920368,0.129166666666667,0.0058925565098879,0.0333333333333333,0.0471404520791032,544.413203342642,8.51255127479862,0.00579049577806188,6
"20","LQ","4","fc.LQ_rm.4",0.987458064516129,0.716,0.0141325,0.0023481837691904,0.984766041666667,0.0112468279825975,0.7805,0.0827314933988261,0.129166666666667,0.0058925565098879,0.0333333333333333,0.0471404520791032,558.826279329709,22.9256272618662,4.29492975387179e-06,9
"21","H","4","fc.H_rm.4",0.990646774193548,0.831,0.00531343750000002,0.00233801910921076,0.988940104166667,0.0044643481258038,0.6545,0.0883883476483184,0.13125,0.0972271824131503,0.0333333333333333,0.0471404520791032,564.220123610463,28.3194715426196,2.8953272738373e-07,10
"22","LQH","4","fc.LQH_rm.4",0.988659677419355,0.818,0.0103440625,0.00848808033858077,0.985191041666667,0.0109286299310635,0.826,0.110308657865101,0.227083333333333,0.055979286843935,0.0333333333333333,0.0471404520791032,549.460133361708,13.5594812938649,0.000464289455379478,8
"23","LQHP","4","fc.LQHP_rm.4",0.9904,0.9,0.00494479166666667,0.00236880771697483,0.989493229166667,0.00432734618694891,0.711,0.0339411254969542,0.225,0.0353553390593274,0.0333333333333333,0.0471404520791032,563.83578200074,27.9351299328968,3.50878196050927e-07,11
"24","LQHPT","4","fc.LQHPT_rm.4",0.9904,0.9,0.00494479166666667,0.00236880771697483,0.989493229166667,0.00432734618694891,0.711,0.0339411254969542,0.225,0.0353553390593274,0.0333333333333333,0.0471404520791032,563.83578200074,27.9351299328968,3.50878196050927e-07,11
"25","L","5","fc.L_rm.5",0.986270967741935,0.891,0.0165000000000001,0.00127809550699466,0.983401875,0.012221456829333,0.5985,0.441941738241592,0.129166666666667,0.0058925565098879,0.0333333333333333,0.0471404520791032,548.726535317652,12.8258832498088,0.000670019761016437,6
"26","LQ","5","fc.LQ_rm.5",0.987093548387097,0.841,0.015241875,0.00106449033351127,0.984524583333333,0.0113673307632248,0.8105,0.159099025766973,0.1625,0.0530330085889911,0.0333333333333333,0.0471404520791032,555.050381336858,19.1497292690149,2.83714737911435e-05,7
"27","H","5","fc.H_rm.5",0.98926935483871,0.827,0.00541677083333336,0.00184952617454107,0.988961145833333,0.00453181789784211,0.7435,0.153442171517481,0.13125,0.0972271824131503,0.0333333333333333,0.0471404520791032,567.254944673581,31.3542926057379,6.34884377741031e-08,9
"28","LQH","5","fc.LQH_rm.5",0.98806935483871,0.845,0.0115909375,0.00757385019607176,0.984837708333333,0.0115697400793394,0.843,0.114551298552221,0.225,0.0353553390593274,0.0333333333333333,0.0471404520791032,549.876119600648,13.9754675328046,0.000377101757381452,7
"29","LQHP","5","fc.LQHP_rm.5",0.989829032258065,0.879,0.00554104166666664,0.00138180450156866,0.9895003125,0.00458249388382708,0.822,0.111722871427475,0.19375,0.00883883476483185,0.0333333333333333,0.0471404520791032,571.104094298639,35.2034422307954,9.26536259060905e-09,11
"30","LQHPT","5","fc.LQHPT_rm.5",0.989829032258065,0.879,0.00554104166666664,0.00138180450156866,0.9895003125,0.00458249388382708,0.822,0.111722871427475,0.19375,0.00883883476483185,0.0333333333333333,0.0471404520791032,571.104094298639,35.2034422307955,9.26536259060852e-09,11
